Date,Open,High,Low,Close,Adj Close,Volume
2009-08-13,256.394012,260.462006,254.574997,257.975006,100.868515,11459720
2009-08-14,258.125000,258.125000,253.250000,255.294006,99.820213,4906088
2009-08-17,253.130997,253.130997,246.406006,247.811996,96.894760,10796904
2009-08-18,246.250000,249.625000,244.375000,246.669006,96.447838,10879064
2009-08-19,248.125000,248.125000,241.875000,243.938004,95.380005,7609192
2009-08-20,246.375000,249.574997,245.000000,248.806000,97.283409,4696576
2009-08-21,249.375000,255.625000,246.250000,254.136993,99.367828,9837224
2009-08-24,257.487000,260.549988,256.330994,259.487000,101.459671,5919008
2009-08-25,256.406006,263.118988,254.375000,261.875000,102.393387,8148232
2009-08-26,263.125000,273.500000,263.125000,272.455994,106.530579,14303176
2009-08-27,272.462006,275.500000,270.075012,273.975006,107.124535,13123784
2009-08-28,272.625000,274.875000,267.649994,273.830994,107.068199,7292688
2009-08-31,270.700012,270.700012,265.281006,266.394012,104.160332,10788632
2009-09-01,267.493988,273.750000,265.325012,268.112000,104.832077,11446120
2009-09-02,267.500000,272.500000,265.000000,270.605988,105.807236,7847928
2009-09-03,271.375000,275.500000,266.987000,273.399994,106.899673,13643728
2009-09-04,272.493988,277.000000,270.138000,275.131012,107.576523,9014920
2009-09-07,276.875000,278.750000,274.524994,278.024994,108.708054,8133400
2009-09-08,278.513000,279.875000,274.669006,275.475006,107.711006,7909128
2009-09-09,275.638000,277.312012,272.125000,273.712006,107.021713,7556600
2009-09-10,276.750000,281.237000,276.750000,280.037994,109.495171,8824944
2009-09-11,275.980988,284.362000,275.980988,283.424988,110.819481,9594120
2009-09-14,278.480988,282.968994,278.480988,281.269012,109.976479,6304472
2009-09-15,280.737000,284.375000,280.000000,283.819000,110.973526,6428216
2009-09-16,284.980988,290.625000,284.024994,290.006012,113.392654,10085952
2009-09-17,291.250000,296.225006,290.000000,295.237000,115.437988,10261328
2009-09-18,293.950012,298.500000,292.694000,295.531006,115.552933,5975112
2009-09-22,294.906006,302.625000,293.763000,301.269012,117.796494,13272872
